language=zh
duration=3010.24
[114.90-117.62] 二位爱卿有何事要找着呀
[2163.93-2164.93] 立刻进宫
[2164.93-2165.93] 再来回话
[2165.93-2170.07] 齐明已经安顿好了
[2179.85-2180.85] 起来呀
[2180.85-2182.85] 大人你干吗呀
[2182.85-2183.85] 没人吃了
[2183.85-2184.85] 大人
[2184.85-2185.85] 吃哪儿
[2186.85-2187.85] 我还没喝完呢
[2187.85-2188.85] 小娘子别跑啊
[2188.85-2189.85] 小娘子
[2189.85-2190.85] 大人
[2191.85-2192.85] 大人
[2192.85-2194.85] 凡将军进来一宿玩啊
[2194.85-2195.85] 是吧 凡将军
[2195.85-2196.85] 进来呀
[2196.85-2198.85] 不用了 你们玩吧
[2198.85-2199.85] 这
[2199.85-2200.85] 这人
[2200.85-2201.85] 这车
[2201.85-2202.85] 行行行
[2203.85-2204.85] 庆充
[2204.85-2205.85] 庆充是啥意思
[2205.85-2207.85] 那就是跟一学不认识的人
[2207.85-2208.85] 吃吃喝喝
[2208.85-2210.85] 吃喝完了就变熟人了
[2210.85-2212.85] 你也应酬一下我呢
[2212.85-2214.85] 应酬我
[2214.85-2225.45] 凡将军
[2225.45-2226.45] 凡将军
[2226.45-2227.45] 后会有期了
[2227.45-2228.45] 后会有期
[2228.45-2229.45] 后会有期
[2229.45-2230.45] 大人
[2230.45-2232.45] 老爷 没喝多吧
[2232.45-2233.45] 快下次再来
[2233.45-2234.45] 一定一定
[2234.45-2236.45] 我的桌子记得给我拿
[2237.45-2238.45] 走了 老板
[2238.45-2239.45] 我去溜带一圈
[2239.45-2240.45] 你们先走吧
[2248.18-2249.18] 衣服
[2250.18-2251.18] 你们在这儿等着
[2251.18-2252.18] 我去看看
[2296.55-2300.06] 你怎么来了
[2301.06-2302.06] 想你
[2312.10-2336.14] 有人看到
[2336.14-2337.14] 看到也没事
[2337.14-2339.14] 我是担心你第一次进京
[2340.14-2341.14] 但我看见
[2342.14-2343.14] 我们三花大将军
[2343.14-2344.14] 有任有余
[2345.14-2346.14] 我也就放心了
[2346.14-2352.54] 那些官员
[2353.54-2354.54] 已经没有人在乎
[2354.54-2355.54] 十七年前的真相了
[2357.54-2358.54] 拼有戏里演的那些
[2359.54-2360.54] 净乱殿前成冤情
[2361.54-2362.54] 得昭雪
[2362.54-2363.54] 善恶有伴
[2364.54-2365.54] 都是假的
[2366.54-2367.54] 皇帝也不靠谱
[2372.13-2373.13] 放心
[2373.13-2374.13] 我跟你一起
[2374.13-2375.13] 去找真相
[2375.13-2378.86] 一定给你点一个清白
[2378.86-2387.66] 谢谢
[2387.66-2395.77] 回家
[2395.77-2396.77] 回家
[2396.77-2397.77] 你不担阿姐了
[2397.77-2398.77] 你不是说京城坏人多
[2398.77-2399.77] 咱不得护家点吗
[2399.77-2400.77] 对啊
[2400.77-2401.77] 今天在京兰殿上
[2401.77-2402.77] 皇帝们 阿姐
[2402.77-2403.77] 有没有夫婿
[2403.77-2404.77] 她想干啥呀
[2404.77-2405.77] 这够皇帝
[2405.77-2407.77] 指定想让阿姐进宫
[2407.77-2408.77] 她能有什么好处意啊
[2409.77-2410.77] 开窍了
[2411.77-2412.77] 你们别在这儿啰嗦了
[2414.77-2415.77] 有五岸侯在
[2416.77-2417.77] 这世上没人能伤得了的
[2417.77-2429.82] 在这儿瞧操心
[2429.82-2430.82] 我自己溜得了的
[2432.82-2439.83] 参见陛下
[2453.92-2454.92] 二位爱情
[2454.92-2456.92] 有何事要禀报就这样
[2457.92-2458.92] 陛下
[2458.92-2460.92] 臣有本启奏
[2460.92-2462.92] 那三花将军凡长玉
[2462.92-2464.92] 先经剑月拔户
[2464.92-2465.92] 毁我大印风苦
[2466.92-2467.92] 不但顶撞了卫相
[2468.92-2469.92] 还对老夫不敬
[2470.92-2472.92] 往陛下处置
[2472.92-2473.92] 卫相也是来谈和
[2473.92-2476.87] 凡将军的
[2477.87-2478.87] 不 陛下
[2479.87-2480.87] 本相
[2481.87-2483.87] 本相是为凡将军
[2483.87-2484.87] 来请功的
[2487.87-2488.87] 前几日陛下
[2488.87-2490.87] 不是提及这前东宫的
[2490.87-2491.87] 谣言一事吗
[2492.87-2493.87] 本相已经查清楚了
[2495.87-2496.87] 凡将军不仅在阵前
[2497.87-2498.87] 杀了常信王
[2498.87-2499.87] 立下了功劳
[2500.87-2501.87] 他还救下了
[2502.87-2504.87] 成德太子的血脉
[2506.87-2507.87] 黄虫孙
[2510.82-2511.82] 这黄虫孙
[2511.82-2513.82] 是前东宫的嫡孙
[2514.82-2515.82] 此次凡将军
[2515.82-2517.82] 可是立下了大功
[2517.82-2519.82] 李英表彰其勇
[2523.67-2524.67] 天下
[2525.67-2526.67] 幸有如此些事
[2527.67-2528.67] 卫相
[2529.67-2530.67] 这黄氏血脉
[2530.67-2532.67] 关乎着设计正统
[2532.67-2533.67] 不容混淆
[2534.67-2536.67] 十几年前东宫失火
[2536.67-2537.67] 这成德太子妃
[2537.67-2538.67] 和嫡黄孙俱亡
[2539.67-2540.67] 那么
[2540.67-2541.67] 这黄虫孙
[2541.67-2543.67] 怎么会凭空出现
[2543.67-2544.67] 如今这人
[2545.67-2546.67] 又在何处啊
[2547.67-2548.67] 这卢城一战之后
[2548.67-2549.67] 黄虫孙
[2549.67-2551.67] 的确是失去了踪迹
[2552.67-2553.67] 臣请旨
[2553.67-2554.67] 颁布悬赏之令
[2555.67-2557.67] 举国寻找黄虫孙
[2557.67-2558.67] 若是此次
[2558.67-2559.67] 真的能够找到
[2559.67-2560.67] 黄氏血脉
[2561.67-2562.67] 当能解除
[2562.67-2564.67] 圣上的传承之忧啊
[2565.67-2569.14] 至于真和贱
[2569.14-2570.14] 自然有着
[2570.14-2572.14] 判定的方法吧
[2572.14-2574.14] 若有万一可能
[2574.14-2575.14] 也不可放弃
[2576.14-2577.14] 只有这样
[2577.14-2578.14] 才能对得起
[2578.14-2581.14] 先帝之龙恩浩荡
[2585.50-2586.50] 我也想
[2586.50-2587.50] 所言其事
[2587.50-2589.50] 那悬赏一事
[2589.50-2590.50] 就有了爱情去办
[2592.50-2593.50] 务必
[2593.50-2594.50] 务必要找到
[2594.50-2596.50] 朕那可怜的侄儿
[2596.50-2603.78] 祖父息怒
[2603.78-2605.78] 当心伤着身子
[2606.78-2607.78] 那武安侯
[2607.78-2609.78] 当真是弃冤在身吗
[2610.78-2611.78] 命令是犯了
[2611.78-2612.78] 陶添大罪
[2612.78-2614.78] 偏偏一再地抵消
[2614.78-2618.02] 不行
[2619.02-2620.02] 无论如何
[2620.02-2621.02] 都得让这上救两人
[2621.02-2623.02] 彻底地撕破脸皮
[2623.02-2624.02] 才好
[2624.02-2634.74] 无论如何
[2634.74-2636.74] 想办法传言给谢正
[2636.74-2638.74] 就说十七年前
[2638.74-2640.74] 魏延返京途中
[2640.74-2642.74] 收到了七世的传信
[2642.74-2643.74] 这才害死了
[2643.74-2645.74] 他的父亲谢林山
[2645.74-2648.74] 以及东宫的承德台子
[2649.74-2651.74] 可那封信早已不知所踪
[2651.74-2652.74] 说不定
[2652.74-2654.74] 已经被卫高给销毁了
[2654.74-2656.74] 只需一个传言就够了
[2656.74-2657.74] 那谢正
[2657.74-2659.74] 会去朝政局当
[2659.74-2661.74] 我们只需
[2661.74-2663.74] 让他们二人
[2663.74-2665.74] 欲绑相争
[2672.27-2674.27] 十七年前
[2674.27-2677.27] 魏延也是很多情的
[2677.27-2679.27] 所以
[2679.27-2680.27] 才酿成了
[2680.27-2682.27] 今天的滔天大祸
[2682.27-2685.55] 今日
[2685.55-2687.55] 我们就
[2688.55-2690.55] 再做一句好了
[2690.55-2703.90] 陛下
[2703.90-2705.90] 牛菜来了
[2708.90-2710.90] 真知道
[2710.90-2711.90] 真把赵文武
[2711.90-2712.90] 没有一个人
[2712.90-2715.90] 把正当成真正的帖子的
[2715.90-2717.90] 魏延把正当成
[2717.90-2718.90] 二皇帖
[2718.90-2721.90] 那谢正是不是也想学的
[2721.90-2723.90] 找一个前途库的血脉
[2723.90-2725.90] 然后做回来去摆布
[2725.90-2726.90] 你想
[2726.90-2728.90] 你就是个废物
[2728.90-2729.90] 那前途库有血脉
[2729.90-2731.90] 下载人家的消息
[2731.90-2733.90] 你都能给说了
[2733.90-2734.90] 就算你
[2734.90-2735.90] 你是不是也
[2735.90-2738.90] 人家换不换得自豪
[2738.90-2739.90] 你信不信
[2739.90-2744.52] 我
[2744.52-2746.52] 我还为奴才治过
[2746.52-2749.52] 而气坏了龙体
[2749.52-2751.52] 陛下
[2751.52-2752.52] 四皇奴才
[2752.52-2755.52] 真的是尽力了
[2755.52-2767.28] 这大赵
[2767.28-2777.15] 结果陛下
[2777.15-2790.03] 自己没有
[2792.28-2794.28] 你上前来
[2794.28-2807.80] 疼不疼
[2807.80-2808.80] 奴才
[2808.80-2810.80] 奴才没事
[2810.80-2811.80] 现在
[2811.80-2816.01] 已经好管世道
[2816.01-2817.01] 魏延
[2817.01-2818.01] 还是死着
[2818.01-2820.01] 谁都不能做这个
[2820.01-2821.01] 龙仪
[2821.01-2822.01] 这是真的
[2822.01-2824.01] 谁都不行
[2824.01-2826.45] 是的
[2826.45-2827.45] 不真龙天子
[2827.45-2830.82] 你信人
[2830.82-2831.82] 不行
[2831.82-2833.82] 你答应这
[2833.82-2834.82] 你一辈子伺候
[2834.82-2846.52] 这就是皇帝
[2884.45-2885.45] 而什么地
[2885.45-2890.45] 谁还留在风雪里
[2890.45-2896.45] 多少人在鸣悬一线的距离
[2896.45-2899.45] 而家人小眼睛
[2899.45-2903.45] 谁能一时独立
[2903.45-2909.54] 夕阳引去火
[2909.54-2911.54] 秋色落地
[2911.54-2915.54] 谁竟在枫叶儿去
[2915.54-2917.54] 无童夕雨
[2917.54-2918.54] 眼下春
[2918.54-2920.54] 眼前只你
[2920.54-2923.54] 这孤真的烟火鸡
[2923.54-2926.54] 为谁不及耳语
[2926.54-2929.95] 许下声色
[2929.95-2932.95] 相依愿夕愿如期
[2932.95-2939.50] 小心翼翼
[2939.50-2946.94] 不放弃了结局
[2946.94-2952.38] 爱去短短续续
[2952.38-2954.38] 你转身促着
[2954.38-2956.38] 玫瑰剑离去
[2956.38-2959.38] 也带走所有秘密
[2959.38-2964.13] 被小心翼翼
[2964.13-2966.13] 不放弃
[2966.13-2970.78] 弄在沙尘里
[2970.78-2975.31] 风我相遇
[2975.31-2977.31] 不沾中你给的
[2977.31-2979.31] 回忆温柔
[2979.31-2985.80] 如此的珍宜
